UR	kam.n.man.n	Stress	Max	Ident(voice)	Onset	Agree(voice)	*Complex Onset	*Complex Coda	Align-L	Align-R	*[+consonantal, -voice]	Dep	Nocoda	*CC
SR	kam.nɨ.ma.nɨn	na	0	0	0	0	0	0	0	0	1	2	2	1
	kamn.mann	na	0	0	0	0	0	2!	0	0	1	0	2	3
	ka.mɨn.ma.nɨn	na	0	0	0	0	0	0	0	0	1	2	2	1
	kam.nɨ.man.nɨ	na	0	0	0	0	0	0	0	1!	1	2	2	2
	kam.nɨn.ma.nɨn	na	0	0	0	0	0	0	0	0	1	3!	3	2
	kam.nə.ma.nɨn	na	0	0	0	0	0	0	0	0	1	2	2	1
	x+am.nɨ.ma.nɨn	na	0	0	0	0	0	0	1!	0	1	2	2	1
	kam.nɰ.ma.nɨn	na	0	0	0	0	1!	1	0	0	1	2	3	3
	kam.d.man.n	na	0	0	0	0	0	0	0	0	1	0	4!	3
	kam.ʔn.man.n	na	0	0	0	2!	1	1	0	0	2	1	4	4
	kam.n.ŋan.n	na	0	0	0	0	0	0	0	0	1	0	4!	3
	kam.nɨ.ma.ɴɨn	na	1!	0	0	0	0	0	0	0	1	3	2	1
	kam.nɨ.mɘː.nɨn	na	0	0	0	0	0	0	0	0	1	2	2	1
	kam.nɨ.ma.dɨn	na	1!	0	0	0	0	0	0	0	1	3	2	1
	kam.n.mæn.n	na	0	0	0	0	0	0	0	0	1	0	4!	3
	kaʔm.n.man.n	na	0	0	0	1!	0	1	0	0	2	1	4	4
	kam.ənɨ.ma.nɨn	na	0	0	1!	0	0	0	0	0	1	3	2	0
	kam.nɨ.mɑː.nɨn	na	0	0	0	0	0	0	0	0	1	2	2	1
	kam.nɨ.ma.niːn	na	0	0	0	0	0	0	0	0	1	2	2	1
	kam.nɨ.ma.nɘn	na	0	0	0	0	0	0	0	0	1	2	2	1
	k+͡x+am.n.man.n	na	0	0	0	0	0	0	1!	0	1	0	4	3
	kɘm.nɨ.ma.nɨn	na	0	0	0	0	0	0	0	0	1	2	2	1
	kam.nɨ.ma.nan	na	0	0	0	0	0	0	0	0	1	2	2	1
	pam.nɨ.ma.nɨn	na	0	0	0	0	0	0	1!	0	1	2	2	1
	kʔam.nɨ.ma.nɨn	na	0	0	0	0	1!	0	0	0	2	3	2	2
	kam.ni.ma.nɨn	na	0	0	0	0	0	0	0	0	1	2	2	1
	ʔam.n.man.n	na	0	0	0	0	0	0	1!	0	1	0	4	3
	am.n.man.n	na	1!	0	1	0	0	0	1	0	0	0	4	3
	ʔam.nɨ.ma.nɨn	na	0	0	0	0	0	0	1!	0	1	2	2	1
	kam.n.man.nʔ	na	0	0	0	1!	1	1	0	1	2	1	4	4
	kab.nɨ.ma.nɨn	na	0	0	0	0	0	0	0	0	1	2	2	1
	cam.n.man.n	na	0	0	0	0	0	0	1!	0	1	0	4	3
	kam.n.man.m	na	0	0	0	0	0	0	0	1!	1	0	4	3
	kam.nɨ.ma.nɨnə	na	0	0	0	0	0	0	0	1!	1	3	1	1
	kam.nɨ.na.nɨn	na	0	0	0	0	0	0	0	0	1	2	2	1
	kam.n.mən.n	na	0	0	0	0	0	0	0	0	1	0	4!	3
	ʈam.n.man.n	na	0	0	0	0	0	0	1!	0	1	0	4	3
	kʌm.nɨ.ma.nɨn	na	0	0	0	0	0	0	0	0	1	2	2	1
	kaɴ.nɨ.ma.nɨn	na	0	0	0	0	0	0	0	0	1	2	2	1
	g͡bam.nɨ.ma.nɨn	na	0	1!	0	0	0	0	1	0	0	2	2	1
	kʰam.nɨ.ma.nɨn	na	0	0	0	0	0	0	1!	0	1	2	2	1
	kaŋ˗.nɨ.ma.nɨn	na	0	0	0	0	0	0	0	0	1	2	2	1
	ɡ+͡ɣ+am.nɨ.ma.nɨn	na	0	1!	0	0	0	0	1	0	0	2	2	1
	kam.n.man.ŋ˗	na	0	0	0	0	0	0	0	1!	1	0	4	3
	kam.n.maŋ˗.n	na	1!	0	0	0	0	0	0	0	1	1	4	3
	kam.nɨ.ma.ŋɨn	na	1!	0	0	0	0	0	0	0	1	3	2	1
	kam.nɨ.ma.nɤn	na	0	0	0	0	0	0	0	0	1	2	2	1
	kam.ŋ˗ɨ.ma.nɨn	na	0	0	0	0	0	0	0	0	1	2	2	1
	qam.n.man.n	na	0	0	0	0	0	0	1!	0	1	0	4	3
	kam.nɨ.ma.nən	na	0	0	0	0	0	0	0	0	1	2	2	1
	ɡ̠ʰam.nɨ.ma.nɨn	na	0	1!	0	0	0	0	1	0	0	2	2	1
	kam.nɨ.ma.nn	na	0	0	0	0	1!	1	0	0	1	1	2	2
	kam.nɨ.ma.mɨn	na	1!	0	0	0	0	0	0	0	1	3	2	1
	kam.nʉ.ma.nɨn	na	0	0	0	0	0	0	0	0	1	2	2	1
	kæːm.nɨ.ma.nɨn	na	0	0	0	0	0	0	0	0	1	2	2	1
	kam.nɨ.ma.nɨːn	na	0	0	0	0	0	0	0	0	1	2	2	1
